Order Date,Order ID,Title,Category,ASIN/ISBN,UNSPSC Code,Website,Release Date,Condition,Seller,Seller Credentials,List Price Per Unit,Purchase Price Per Unit,Quantity,Payment Instrument Type,Purchase Order Number,PO Line Number,Ordering Customer Email,Shipment Date,Shipping Address Name,Shipping Address Street 1,Shipping Address Street 2,Shipping Address City,Shipping Address State,Shipping Address Zip,Order Status,Carrier Name & Tracking Number,Item Subtotal,Item Subtotal Tax,Item Total,Tax Exemption Applied,Tax Exemption Type,Exemption Opt-Out,Buyer Name,Currency,Group Name
1/1/2021,222-2462503-0998634,"Argee RG5700, White, Pack of 10",BUCKET,B1240CMQU8XE,47121124,Amazon.com,,new,Ves Express,,$0.00 ,$38.20 ,1,Gift Certificate/Card,,,words@mail.com,1/5/2021,Jack Wilson,21 S Holly ST,,DENVER,CO,80321-5119,Shipped,FedEx(782203252027),$38.20 ,$3.37 ,$41.57 ,FALSE,,FALSE,J,USD,
1/4/2021,222-2462503-0998635,"McCONKEY Square Nursery Pot, Case of 60",PLANTER,B00040CMQU8XE,21114601,Amazon.com,,new,Amazon.com,,$18.00 ,$18.00 ,1,Gift Certificate/Card,,,words@mail.com,1/5/2021,Jack Wilson,21 S Holly ST,,DENVER,CO,80321-5120,Shipped,AMZN_US(TBA124123523704),$18.00 ,$1.59 ,$19.59 ,FALSE,,FALSE,J,USD,
1/10/2021,222-2462503-0998636,SIE Exam Prep 2020-2021: SIE Study Guide with 375 Questions and Detailed Answer Explanations for the FINRA Securities Industry Essentials Exam (5 Full-Length Practice Tests),ABIS_BOOK,1.98124E+11,55121500,Amazon.com,2020-08-06T00:00:01,new,Amazon.com,,$19.99 ,$16.55 ,1,Gift Certificate/Card,,,words@mail.com,1/12/2021,Jack Wilson,21 S Holly ST,,DENVER,CO,80321-5121,Shipped,AMZN_US(TBA132350292304),$16.55 ,$1.46 ,$18.01 ,FALSE,,FALSE,J,USD,
1/11/2021,222-2462503-0998637,"Amazon Basics 1/3-Cut Tab, Assorted Positions File Folders, Letter Size, Manila - Pack of 100",FILE_FOLDER,B1240CMQU8XE,49119451,Amazon.com,,new,Amazon.com,,$11.99 ,$11.99 ,1,Gift Certificate/Card,,,words@mail.com,1/11/2021,Jack Wilson,21 S Holly ST,,DENVER,CO,80321-5122,Shipped,AMZN_US(TBA132351900104),$11.99 ,$1.06 ,$13.05 ,FALSE,,FALSE,J,USD,
1/11/2021,222-2462503-0998638,"Amazon Basics College Ruled Wirebound Spiral Notebook, 100 Sheets - 5-Pack, Assorted Solid Colors",BLANK_BOOK,B00040CMQU8XE,53119639,Amazon.com,,new,Amazon.com,,$12.99 ,$12.57 ,1,Gift Certificate/Card,,,words@mail.com,1/11/2021,Jack Wilson,21 S Holly ST,,DENVER,CO,80321-5123,Shipped,AMZN_US(TBA132361900104),$12.57 ,$1.11 ,$13.68 ,FALSE,,FALSE,J,USD,
1/13/2021,222-2462503-0998639,"Viagrow nursery Trade Pots (4.02 gal / 15.19 Liters) 20 pack, Black (VHPP500-20)",PLANTER,1.98124E+11,57119827,Amazon.com,,new,Amazon.com,,$49.99 ,$49.55 ,1,Gift Certificate/Card,,,words@mail.com,1/15/2021,Jack Wilson,21 S Holly ST,,DENVER,CO,80321-5124,Shipped,FedEx(782203252027),$49.55 ,$4.37 ,$53.92 ,FALSE,,FALSE,J,USD,
4/22/2021,222-2462503-0998640,"PILOT G2 Premium Refillable & Retractable Rolling Ball Gel Pens, Ultra Fine Point, Black Ink, 12-Pack (31277)",WRITING_INSTRUMENT,B1240CMQU8XE,61120015,Amazon.com,,new,Amazon.com,,$24.99 ,$14.29 ,2,Gift Certificate/Card,,,words@mail.com,4/23/2021,Jack Wilson,21 S Holly ST,,DENVER,CO,80321-5125,Shipped,AMZN_US(TBA124123523704),$28.58 ,$2.52 ,$31.10 ,FALSE,,FALSE,J,USD,
4/22/2021,222-2462503-0998641,Hanes Men's Tagless Cotton Crew Undershirt – Multiple Packs and Colors,SHIRT,B00040CMQU8XE,65120203,Amazon.com,,new,Amazon.com,,$19.99 ,$16.96 ,1,Gift Certificate/Card,,,words@mail.com,4/23/2021,Jack Wilson,21 S Holly ST,,DENVER,CO,80321-5126,Shipped,AMZN_US(TBA132350292304),$16.96 ,$1.49 ,$18.45 ,FALSE,,FALSE,J,USD,
4/27/2021,222-2462503-0998642,"Amazon Basics College Ruled Wirebound Spiral Notebook, 100 Sheets - 5-Pack, Assorted Solid Colors",BLANK_BOOK,1.98124E+11,69120391,Amazon.com,,new,Amazon.com,,$12.99 ,$13.28 ,2,Gift Certificate/Card,,,words@mail.com,4/28/2021,Jack Wilson,21 S Holly ST,,DENVER,CO,80321-5127,Shipped,AMZN_US(TBA132351900104),$26.56 ,$2.34 ,$28.90 ,FALSE,,FALSE,J,USD,
5/25/2021,222-2462503-0998643,SUNGAIT Men's Military Style Polarized Pilot Aviator Sunglasses Bayonet Temples,SUNGLASSES,B1240CMQU8XE,73120579,Amazon.com,,new,SUNGAIT,,$15.99 ,$15.99 ,1,Gift Certificate/Card,,,words@mail.com,5/27/2021,Jack Wilson,21 S Holly ST,,DENVER,CO,80321-5128,Shipped,AMZN_US(TBA132361900104),$15.99 ,$1.41 ,$17.40 ,FALSE,,FALSE,J,USD,
6/1/2021,222-2462503-0998644,HAPPYPOP Men‘s Lawyer Socks Funny Animal Otter Cat Chicken Gift for Barber,SOCKS,B00040CMQU8XE,77120767,Amazon.com,,new,ZMART,,$0.00 ,$10.99 ,1,Gift Certificate/Card,,,words@mail.com,6/2/2021,Jack Wilson,21 S Holly ST,,DENVER,CO,80321-5129,Shipped,FedEx(782203252027),$10.99 ,$0.97 ,$11.96 ,FALSE,,FALSE,J,USD,
6/20/2021,222-2462503-0998645,CFA Level 1 Calculation Workbook: 300 Calculations to Prepare for the CFA Level 1 Exam (2021 Edition),ABIS_BOOK,1.98124E+11,81120955,Amazon.com,2021-01-14T00:00:01,new,Amazon.com,,$24.99 ,$24.99 ,1,Gift Certificate/Card,,,words@mail.com,6/22/2021,Jack Wilson,21 S Holly ST,,DENVER,CO,80321-5130,Shipped,AMZN_US(TBA124123523704),$24.99 ,$2.20 ,$27.19 ,FALSE,,FALSE,J,USD,
